2026-05-06 22:55:11.009 [info] [LS Main] Starting language server from: /usr/share/antigravity/resources/app/extensions/antigravity/bin/language_server_linux_x64
2026-05-06 22:55:11.060 [info] [LS Main] Args: --csrf_token 97ddb41a-b11d-41ad-9b37-80b07de68763 --extension_server_port 44985 --extension_server_csrf_token ec312ac4-9c24-40b7-a3ec-b0a665e77138 --app_data_dir antigravity --cloud_code_endpoint https://cloudcode-pa.googleapis.com
2026-05-06 22:55:11.071 [info] [LS Main] Process spawned with PID: 5905
2026-05-06 22:55:11.239 [error] [LS Main stderr] I0506 22:55:11.202738  5905 server.go:1236] Starting language server process with pid 5905
E0507 20:27:35.801981  5905 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-07 20:28:31.826 [error] [LS Main stderr] W0507 20:28:31.820922  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:28:31.821085  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
W0507 20:28:31.821141  5905 log_context.go:118] Failed to refresh cache in background: failed to get load code assist response: error getting token source: state syncing error: key not found
W0507 20:28:31.821472  5905 log_context.go:118] Cache(userInfo): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:28:31.821563  5905 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found
W0507 20:28:31.821670  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:28:31.821784  5905 log_context.go:118] Cache(fetchAdminControls): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
W0507 20:28:31.821826  5905 log_context.go:118] Failed to refresh cache in background: failed to get load code assist response: error getting token source: state syncing error: key not found
W0507 20:28:31.821886  5905 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found
W0507 20:28:31.822876  5905 log_context.go:118] Cache(peopleInfo): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:28:31.822991  5905 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found

2026-05-07 20:28:32.795 [error] [LS Main stderr] W0507 20:28:32.795716  5905 log_context.go:118] Cache(userInfo): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:28:32.795748  5905 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found
W0507 20:28:32.795750  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:28:32.795788  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-07 20:28:32.796 [error] [LS Main stderr] W0507 20:28:32.795784  5905 log_context.go:118] Cache(peopleInfo): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:28:32.795823  5905 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found
W0507 20:28:32.795844  5905 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found
W0507 20:28:32.795875  5905 log_context.go:118] Failed to refresh cache in background: failed to get load code assist response: error getting token source: state syncing error: key not found
W0507 20:28:32.795889  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:28:32.795921  5905 log_context.go:118] Cache(fetchAdminControls): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
W0507 20:28:32.795934  5905 log_context.go:118] Failed to refresh cache in background: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-07 20:28:35.801 [error] [LS Main stderr] E0507 20:28:35.800460  5905 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found

2026-05-07 20:28:35.803 [error] [LS Main stderr] W0507 20:28:35.802969  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:28:35.803131  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
E0507 20:28:35.803306  5905 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-07 20:28:36.808 [error] [LS Main stderr] W0507 20:28:36.807416  5905 log_context.go:118] Cache(peopleInfo): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:28:36.807466  5905 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found
W0507 20:28:36.807424  5905 log_context.go:118] Cache(userInfo): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:28:36.807513  5905 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found
W0507 20:28:36.807487  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0507 20:28:36.807560  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
W0507 20:28:36.807572  5905 log_context.go:118] Failed to refresh cache in background: failed to get load code assist response: error getting token source: state syncing error: key not found
W0507 20:28:36.807627  5905 log_context.go:118] Cache(fetchAdminControls): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
W0507 20:28:36.807612  5905 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found
W0507 20:28:36.807653  5905 log_context.go:118] Failed to refresh cache in background: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-07 20:29:36.171 [error] [LS Main stderr] I0507 20:29:36.170839  5905 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x26dd219493bed9fb

